seccional,direccion,localidad,direccion_limpia,direccion_completa_limpia,location,lat,lon
SANTA FE Nº 2,ZAZPE 3252,SANTA FE,ZAZPE 3252,"ZAZPE 3252, SANTA FE, Argentina","3252, Monseñor Zazpe, Pedro Candioti Sud, Santa Fe, Santa Fe Capital, Departamento La Capital, S3000, Argentina",-31.6544453,-60.7177711
MERCEDES Nº 2,CALLE 24 792,MERCEDES,CALLE 24 792,"CALLE 24 792, MERCEDES, Argentina","Calle 24, Redes, Unidad y Progreso, Mercedes, Partido de Mercedes, Buenos Aires, B6600, Argentina",-34.6487698,-59.4443002
CAPITAL FEDERAL Nº 082,TUCUMAN 715,CABA,TUCUMAN 715,"TUCUMAN 715, CABA, Argentina","715, Tucumán, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1043AAA, Argentina",-34.6010975,-58.3770282
SUNCHALES,25 DE MAYO 255,SUNCHALES,25 DE MAYO 255,"25 DE MAYO 255, SUNCHALES, Argentina","255, 25 de Mayo, Centro, Sunchales, Municipio de Sunchales, Departamento Castellanos, S2322ATA, Argentina",-30.9446011,-61.5636191
PINAMAR,CONSTITUCION 951,PINAMAR,CONSTITUCION 951,"CONSTITUCION 951, PINAMAR, Argentina","Avenida Constitución, Pinamar, Partido de Pinamar, Buenos Aires, 7167, Argentina",-37.1100121,-56.8696723
TUNUYAN,SARMIENTO 80,TUNUYAN,SARMIENTO 80,"SARMIENTO 80, TUNUYAN, Argentina","Registro Automotor, 80, Sarmiento, Tunuyán, Departamento Tunuyán, Mendoza, M5560EVZ, Argentina",-33.5784091,-69.0152436
CAPITAL FEDERAL Nº 073,PIEDRAS 113,CABA,PIEDRAS 113,"PIEDRAS 113, CABA, Argentina","113, Piedras, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1079AAD, Argentina",-34.6095853,-58.377795
PLOTTIER Nº 1,ALBERDI 45,PLOTTIER,ALBERDI 45,"ALBERDI 45, PLOTTIER, Argentina","Altos de Alberdi, Plottier, Municipio de Plottier, Departamento Confluencia, Neuquén, Argentina",-38.9535019,-68.2016069
ESQUINA,REGISTRO AUTOMOTOR,ESQUINA,REGISTRO AUTOMOTOR,"REGISTRO AUTOMOTOR, ESQUINA, Argentina",,,
SAN NICOLAS Nº 2,DE LA NACION 473,SAN NICOLAS,DE LA NACION 473,"DE LA NACION 473, SAN NICOLAS, Argentina","473, De la Nación, Centro, San Nicolás de los Arroyos, Partido de San Nicolás, Buenos Aires, 2900, Argentina",-33.3366801,-60.2229845
NECOCHEA Nº 3,DIAGONAL SAN MARTIN 1226,NECOCHEA,DIAGONAL SAN MARTIN 1226,"DIAGONAL SAN MARTIN 1226, NECOCHEA, Argentina","1226, Diagonal San Martín, Necochea, Partido de Necochea, Buenos Aires, B7632FMF, Argentina",-38.5673952,-58.7293759
TILISARAO,SAN MARTÍN 741,TILISARAO,SAN MARTÍN 741,"SAN MARTÍN 741, TILISARAO, Argentina","San Martín, Tilisarao, Municipio de Tilisarao, Chacabuco, San Luis, Argentina",-32.7287817,-65.2901801
GUALEGUAYCHU Nº 1,RUCCI 30,GUALEGUAYCHU,RUCCI 30,"RUCCI 30, GUALEGUAYCHU, Argentina","30, Rucci, Barrio Centro, Límite de Ejido de Municipio de Gualeguaychú, Distrito Costa Uruguay Sur, Departamento Gualeguaychú, 2820, Argentina",-33.0094611,-58.5224314
TRELEW Nº 1,SARMIENTO 440,TRELEW,SARMIENTO 440,"SARMIENTO 440, TRELEW, Argentina","440, Sarmiento, Presidente Dr. Raúl Ricardo Alfonsín, Trelew, Municipio de Trelew, Departamento Rawson, Chubut, U9100, Argentina",-43.252531,-65.3038913
NECOCHEA Nº 1,CALLE 67 2780,NECOCHEA,CALLE 67 2780,"CALLE 67 2780, NECOCHEA, Argentina","2780, Calle 67, Necochea, Partido de Necochea, Buenos Aires, B7630, Argentina",-38.5561727,-58.744762
SAN CARLOS DE BARILOCHE Nº 1,JUAN JOSE PASO 101,BARILOCHE,JUAN JOSE PASO 101,"JUAN JOSE PASO 101, BARILOCHE, Argentina","101, Juan José Paso, Centro, San Carlos de Bariloche, Municipio de San Carlos de Bariloche, Departamento Bariloche, Río Negro, 8400, Argentina",-41.1363368,-71.3122354
PLOTTIER Nº 2,AVENIDA RIAVITZ 206,PLOTTIER,AVENIDA RIAVITZ 206,"AVENIDA RIAVITZ 206, PLOTTIER, Argentina","Avenida Riavitz, Rossel, Plottier, Municipio de Plottier, Departamento Confluencia, Neuquén, Q8316, Argentina",-38.9612622,-68.2263797
SAN NICOLAS Nº 1,SARMIENTO 173,SAN NICOLAS,SARMIENTO 173,"SARMIENTO 173, SAN NICOLAS, Argentina","173, Sarmiento, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1043AAB, Argentina",-34.6041363,-58.3696305
GENERAL BELGRANO,RONDEAU 187,GENERAL BELGRANO,RONDEAU 187,"RONDEAU 187, GENERAL BELGRANO, Argentina","187, Rondeau, General Belgrano, Partido de General Belgrano, Buenos Aires, B7223, Argentina",-35.7704981,-58.4912637
MINA CLAVERO,AVENIDA MITRE 1719,MINA CLAVERO,AVENIDA MITRE 1719,"AVENIDA MITRE 1719, MINA CLAVERO, Argentina","Avenida Mitre, Mina Clavero, Municipio de Mina Clavero, Pedanía Tránsito, Departamento San Alberto, Córdoba, X5891, Argentina",-31.7267533,-65.0060937
GENERAL ROCA Nº 2,SANTA CRUZ 1102,GENERAL ROCA,SANTA CRUZ 1102,"SANTA CRUZ 1102, GENERAL ROCA, Argentina","Santa Cruz, Casco Céntrico, General Roca, Municipio de General Roca, Departamento General Roca, Río Negro, R8332, Argentina",-39.0254564,-67.5822312
SAN ANTONIO DE ARECO,MORENO 335,SAN ANTONIO DE ARECO,MORENO 335,"MORENO 335, SAN ANTONIO DE ARECO, Argentina","335, Mariano Moreno, San Antonio de Areco, Partido de San Antonio de Areco, Buenos Aires, B2760BWG, Argentina",-34.248456,-59.4753198
SAN CARLOS DE BARILOCHE Nº 3,SARMIENTO 765,BARILOCHE,SARMIENTO 765,"SARMIENTO 765, BARILOCHE, Argentina","765, Domingo Faustino Sarmiento, Anasagasti, San Carlos de Bariloche, Municipio de San Carlos de Bariloche, Departamento Bariloche, Río Negro, 8400, Argentina",-41.1412496,-71.293946
SAN ANDRES DE GILES,MORENO 559,SAN ANDRES DE GILES,MORENO 559,"MORENO 559, SAN ANDRES DE GILES, Argentina","559, 12 - Moreno, Centro, San Andrés de Giles, Partido de San Andrés de Giles, Buenos Aires, 6720, Argentina",-34.4425708,-59.4453857
VILLA DOLORES,AVENIDA ESPAÑA 65,VILLA DOLORES,AVENIDA ESPAÑA 65,"AVENIDA ESPAÑA 65, VILLA DOLORES, Argentina","Avenida España, Villa Dolores, Municipio de Villa Dolores, Pedanía Dolores, Departamento San Javier, Córdoba, X5870, Argentina",-31.9486064,-65.1826205
PASO DE LOS LIBRES,COLON 936,PASO DE LOS LIBRES,COLON 936,"COLON 936, PASO DE LOS LIBRES, Argentina","Registros del Automotor, 936, Colón, Centro de la Ciudad, Barrio Santa Rosa, Municipio de Paso de los Libres, Departamento Paso de los Libres, Corrientes, 3230, Argentina",-29.7129119,-57.0884568
EMBALSE,FACUNDO QUIROGA 27,EMBALSE,FACUNDO QUIROGA 27,"FACUNDO QUIROGA 27, EMBALSE, Argentina","Registro de la Propiedad del Automotor, 27, Facundo Quiroga, Embalse, Municipio de Embalse, Pedanía Cóndores, Departamento Calamuchita, Córdoba, X5858, Argentina",-32.2165966,-64.3956939
CENTENARIO Nº 1,SAN JUAN BOSCO 344,CENTENARIO,SAN JUAN BOSCO 344,"SAN JUAN BOSCO 344, CENTENARIO, Argentina","San Juan Bosco, Casco Viejo, Centenario, Municipio de Centenario, Departamento Confluencia, Neuquén, 8309, Argentina",-38.8302359,-68.1191242
SAN LUIS Nº 3,CONSTITUCION 411,SAN LUIS,CONSTITUCION 411,"CONSTITUCION 411, SAN LUIS, Argentina","411, Constitución, Cuatro Avenidas, San Luis, Municipio de San Luis, Juan Martín de Pueyrredón, San Luis, D5700, Argentina",-33.3076621,-66.3423964
SAN MARTIN (TARTAGAL),9 DE JULIO 301,TARTAGAL,9 DE JULIO 301,"9 DE JULIO 301, TARTAGAL, Argentina","9 de Julio, Tartagal, Municipio de Tartagal, General San Martín, Salta, Argentina",-22.5012298,-63.806571
OLAVARRIA Nº 1,AVENIDA COLON 3020,OLAVARRIA,AVENIDA COLON 3020,"AVENIDA COLON 3020, OLAVARRIA, Argentina","3020, Avenida Colón, Centro, Olavarría, Partido de Olavarría, Buenos Aires, 7400, Argentina",-36.8914204,-60.3155648
CINCO SALTOS,SAN MARTIN 305,CINCO SALTOS,SAN MARTIN 305,"SAN MARTIN 305, CINCO SALTOS, Argentina","San Martín, Cinco Saltos, Municipio de Cinco Saltos, Departamento General Roca, Río Negro, R8303, Argentina",-38.815564,-68.0681954
SAN FRANCISCO Nº 1,REGISTRO AUTOMOTOR 1,SAN FRANCISCO,REGISTRO AUTOMOTOR 1,"REGISTRO AUTOMOTOR 1, SAN FRANCISCO, Argentina",,,
GENERAL ROCA Nº 1,AVENIDA ROCA 1955,GENERAL ROCA,AVENIDA ROCA 1955,"AVENIDA ROCA 1955, GENERAL ROCA, Argentina","Avenida Roca, Quinta 25, General Roca, Municipio de General Roca, Departamento General Roca, Río Negro, 8332, Argentina",-39.0009151,-67.5700557
COMODORO RIVADAVIA Nº 3,ESPAÑA 726,COMODORO RIVADAVIA,ESPAÑA 726,"ESPAÑA 726, COMODORO RIVADAVIA, Argentina","726, España, Rincón del Diablo, Centro, Municipio de Comodoro Rivadavia, Departamento Escalante, Chubut, U9000, Argentina",-45.8631501,-67.4861866
TANDIL Nº 3,9 DE JULIO 325,TANDIL,9 DE JULIO 325,"9 DE JULIO 325, TANDIL, Argentina","325, 9 de Julio, Centro, Cuatro Avenidas, Tandil, Partido de Tandil, Buenos Aires, B7000, Argentina",-37.3291748,-59.1331456
SANTIAGO DEL ESTERO Nº 2,AVENIDA ROCA 955,SANTIAGO DEL ESTERO,AVENIDA ROCA 955,"AVENIDA ROCA 955, SANTIAGO DEL ESTERO, Argentina","Avenida Roca, Departamento Río Hondo, Santiago del Estero, G4220, Argentina",-27.4771907,-64.8642784
ZAPALA,ISRAEL 1024,ZAPALA,ISRAEL 1024,"ISRAEL 1024, ZAPALA, Argentina","DNRPA Zapala, 1024, Israel, Don Bosco, Zapala, Municipio de Zapala, Departamento Zapala, Neuquén, Q8340, Argentina",-38.9017387,-70.059057
CHIVILCOY Nº 1,9 DE JULIO 76,CHIVILCOY,9 DE JULIO 76,"9 DE JULIO 76, CHIVILCOY, Argentina","76, 9 de Julio, Chivilcoy, Partido de Chivilcoy, Buenos Aires, 6620, Argentina",-34.8966449,-60.0211984
CHACABUCO,ITALIA 40,CHACABUCO,ITALIA 40,"ITALIA 40, CHACABUCO, Argentina","40, Italia, Barrio Cooperativa, Chacabuco, Partido de Chacabuco, Buenos Aires, 6740, Argentina",-34.6445464,-60.4715093
TRES ARROYOS Nº 2,LAVALLE 165,TRES ARROYOS,LAVALLE 165,"LAVALLE 165, TRES ARROYOS, Argentina","165, 35 bis - Lavalle, Centro, Tres Arroyos, Partido de Tres Arroyos, Buenos Aires, B7500, Argentina",-38.3818208,-60.2724994
PERGAMINO Nº 2,ITALIA 763,PERGAMINO,ITALIA 763,"ITALIA 763, PERGAMINO, Argentina","763, Italia, Centro, Pergamino, Partido de Pergamino, Buenos Aires, 2700, Argentina",-33.8949051,-60.5771293
BALCARCE,CALLE 21 758,BALCARCE,CALLE 21 758,"CALLE 21 758, BALCARCE, Argentina","Banco Nación, 551, Calle 15, Veteranos de Malvinas, San José de Balcarce, Partido de Balcarce, Buenos Aires, 7620, Argentina",-37.8447826,-58.2552848
DOLORES,SAN MARTIN 320,DOLORES,SAN MARTIN 320,"SAN MARTIN 320, DOLORES, Argentina","320, San Martín, Solidaridad II, Dolores, Partido de Dolores, Buenos Aires, 7100, Argentina",-36.3149488,-57.6760369
TUCUMAN Nº 7,MARCOS PAZ 1353,TUCUMAN,MARCOS PAZ 1353,"MARCOS PAZ 1353, TUCUMAN, Argentina","1353, Marcos Paz, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina",-26.8186936,-65.2152948
PERGAMINO Nº 3,MERCED 174,PERGAMINO,MERCED 174,"MERCED 174, PERGAMINO, Argentina","174, Merced, Centro, Pergamino, Partido de Pergamino, Buenos Aires, 2700, Argentina",-33.8905267,-60.5725708
TANDIL Nº 2,HIPOLITO YRIGOYEN 1674,TANDIL,HIPOLITO YRIGOYEN 1674,"HIPOLITO YRIGOYEN 1674, TANDIL, Argentina","Hipólito Yrigoyen, Uriburu Norte, La Estación, Cuatro Avenidas, Tandil, Partido de Tandil, Buenos Aires, B7000GKN, Argentina",-37.3165421,-59.1415737
PUERTO MADRYN Nº 1,MOSCONI 80,PUERTO MADRYN,MOSCONI 80,"MOSCONI 80, PUERTO MADRYN, Argentina","80, Mosconi, Parry Madryn, Municipio de Puerto Madryn, Departamento Biedma, Chubut, U9120, Argentina",-42.763999,-65.038094
RAWSON,JOHN PARRY MADRYN 225,RAWSON,JOHN PARRY MADRYN 225,"JOHN PARRY MADRYN 225, RAWSON, Argentina","225, John Parry Madryn, Área 7, Rawson, Municipio de Rawson, Departamento Rawson, Chubut, U9103, Argentina",-43.2983735,-65.0977302
TUCUMAN Nº 5,ESPAÑA 28,TUCUMAN,ESPAÑA 28,"ESPAÑA 28, TUCUMAN, Argentina","28, España, Villa 9 de julio, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina",-26.8187492,-65.1942879
CORRIENTES Nº 4,JUNIN 1744,CORRIENTES,JUNIN 1744,"JUNIN 1744, CORRIENTES, Argentina","1744, Junín, Libertad, Barrio Libertad, Seccional 4ta, Corrientes, Departamento Capital, Corrientes, 3400, Argentina",-27.4683966,-58.8286266
CORRIENTES Nº 5,AVENIDA ITALIA 430,CORRIENTES,AVENIDA ITALIA 430,"AVENIDA ITALIA 430, CORRIENTES, Argentina","Avenida Italia, Barrio La Rosada, Corrientes, Departamento Capital, Corrientes, W3400CEI, Argentina",-27.4617666,-58.8361963
CORRIENTES Nº 1,RIVADAVIA 2131,CORRIENTES,RIVADAVIA 2131,"RIVADAVIA 2131, CORRIENTES, Argentina","2131, Rivadavia, Barrio Libertad, Seccional 3era, Corrientes, Departamento Capital, Corrientes, 3400, Argentina",-27.4755242,-58.8244304
CUTRAL-CO,AVENIDA OLASCOAGA 540,CUTRALCO,AVENIDA OLASCOAGA 540,"AVENIDA OLASCOAGA 540, CUTRALCO, Argentina","Registro Nacional de Registro de la Propiedad Automotor, 540, Avenida Olascoaga, Ruca Quimey, Cutral Có, Municipio de Cutral Có, Departamento Confluencia, Neuquén, 8322, Argentina",-38.9329185,-69.2206534
CAÑADA DE GOMEZ Nº 2,BV CENTENARIO 741,CAÑADA DE GOMEZ,BV CENTENARIO 741,"BV CENTENARIO 741, CAÑADA DE GOMEZ, Argentina","Marconi y Bv. Centenario, Marconi, 11 de Octubre, Cañada de Gómez, Municipio de Cañada de Gómez, Departamento Iriondo, S2500, Argentina",-32.816828,-61.3808565
CENTENARIO Nº 2,COLON 146,CENTENARIO,COLON 146,"COLON 146, CENTENARIO, Argentina","146, Colón, Villa Centenario, Resistencia, Municipio de Resistencia, Departamento San Fernando, Chaco, 1544, Argentina",-27.4553178,-58.9843805
RAMALLO,COLON 1170,RAMALLO,COLON 1170,"COLON 1170, RAMALLO, Argentina","Cristóbal Colón, Ramallo, Partido de Ramallo, Buenos Aires, B2914, Argentina",-33.4858341,-60.008906
SALADILLO,CABRAL 3590,SALADILLO,CABRAL 3590,"CABRAL 3590, SALADILLO, Argentina","3590, Avenida Máximo Cabral, Saladillo, Partido de Saladillo, Buenos Aires, 7260, Argentina",-35.6393296,-59.7867327
VILLA MERCEDES Nº 2,BELGRANO 152,VILLA MERCEDES,BELGRANO 152,"BELGRANO 152, VILLA MERCEDES, Argentina","152, Bolívar, Teodoro Fels, Villa Mercedes, Municipio de Villa Mercedes, General Pedernera, San Luis, 5730, Argentina",-33.6633845,-65.4631174
GOYA,REGISTRO AUTOMOTOR,GOYA,REGISTRO AUTOMOTOR,"REGISTRO AUTOMOTOR, GOYA, Argentina",,,
SAN MARTIN DE LOS ANDES,AVENIDA KOESSLER 1684,SAN MARTIN DE ANDES,AVENIDA KOESSLER 1684,"AVENIDA KOESSLER 1684, SAN MARTIN DE ANDES, Argentina","Avenida Rodolfo Koessler, Cantera, Altos del Sol, San Martín de los Andes, Municipio de San Martín de los Andes, Departamento Lácar, Neuquén, Q8370, Argentina",-40.1543374,-71.3428924
VILLA DE MARIA,CAUTIVITA 683,VILLA DE MARIA,CAUTIVITA 683,"CAUTIVITA 683, VILLA DE MARIA, Argentina","Cautivita, Villa de María del Río Seco, Centro, Villa de María, Municipio de Villa de María, Pedanía Villa de María, Departamento Río Seco, Córdoba, X5248, Argentina",-29.9070905,-63.7212391
COMODORO RIVADAVIA Nº 5,HIPOLITO YRIGOYEN 243,COMODORO RIVADAVIA,HIPOLITO YRIGOYEN 243,"HIPOLITO YRIGOYEN 243, COMODORO RIVADAVIA, Argentina","Hipólito Yrigoyen, Humberto Beghin, Municipio de Comodoro Rivadavia, Departamento Escalante, Chubut, U9000, Argentina",-45.8822025,-67.5141127
VILLA DEL TOTORAL,PRESIDENTE PERON 805,VILLA DEL TOTORAL,PRESIDENTE PERON 805,"PRESIDENTE PERON 805, VILLA DEL TOTORAL, Argentina","805, Presidente Perón, Municipio de Villa del Totoral, Pedanía Totoral, Departamento Totoral, Córdoba, X5236, Argentina",-30.7042667,-64.0699431
COMODORO RIVADAVIA Nº 4,RUFINO RIERA 260,CHUBUT,RUFINO RIERA 260,"RUFINO RIERA 260, CHUBUT, Argentina","260, Rufino Riera, Centro, Municipio de Comodoro Rivadavia, Departamento Escalante, Chubut, U9000, Argentina",-45.8631502,-67.4778244
COMODORO RIVADAVIA Nº 6,RAWSON 1040,COMODORO RIVADAVIA,RAWSON 1040,"RAWSON 1040, COMODORO RIVADAVIA, Argentina","1040, Rawson, La Loma, Centro, Municipio de Comodoro Rivadavia, Departamento Escalante, Chubut, U9000, Argentina",-45.8645981,-67.4898167
ALLEN,SAN MARTIN 83,ALLEN,SAN MARTIN 83,"SAN MARTIN 83, ALLEN, Argentina","83, San Martín, Centro, Allen, Municipio de Allen, Departamento General Roca, Río Negro, R8328ASB, Argentina",-38.9788254,-67.8289121
TANDIL Nº 1,9 DE JULIO 867,TANDIL,9 DE JULIO 867,"9 DE JULIO 867, TANDIL, Argentina","867, 9 de Julio, Centro, Cuatro Avenidas, Tandil, Partido de Tandil, Buenos Aires, B7000, Argentina",-37.3226401,-59.1369803
SAN LUIS Nº 1,LA RIOJA 431,SAN LUIS,LA RIOJA 431,"LA RIOJA 431, SAN LUIS, Argentina","La Rioja, AMPPYA, Cuatro Avenidas, San Luis, Municipio de San Luis, Juan Martín de Pueyrredón, San Luis, D5702FJX, Argentina",-33.3002449,-66.3257978
TUCUMAN Nº 9,CRISOSTOMO ALVAREZ 1465,TUCUMAN,CRISOSTOMO ALVAREZ 1465,"CRISOSTOMO ALVAREZ 1465, TUCUMAN, Argentina","1465, Crisóstomo Álvarez, Ciudadela, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina",-26.8293871,-65.2194542
SAN PEDRO Nº 1,PELLEGRINI 1026,SAN PEDRO,PELLEGRINI 1026,"PELLEGRINI 1026, SAN PEDRO, Argentina","Registro Del Automotor - Ministerio De Justicia, 1026, Carlos Pellegrini, San Pedro, Partido de San Pedro, Buenos Aires, B2930, Argentina",-33.6804811,-59.6660761
SAN SALVADOR DE JUJUY Nº 3,PABLO SORIA 1189,SAN SALVADOR DE JUJUY,PABLO SORIA 1189,"PABLO SORIA 1189, SAN SALVADOR DE JUJUY, Argentina","Pablo Soria, Asentamiento De Calle Pablo Soria, Ciudad de Nieva, Municipio de San Salvador de Jujuy, Departamento Doctor Manuel Belgrano, Jujuy, Y4607BCL, Argentina",-24.1888512,-65.3215865
BELLA VISTA,TUCUMAN 1029,BELLA VISTA,TUCUMAN 1029,"TUCUMAN 1029, BELLA VISTA, Argentina","1029, Tucumán, Barrio Libertad, Municipio de Bella Vista, Departamento Bella Vista, Corrientes, 3432, Argentina",-28.5060637,-59.0461119
TRELEW Nº 2,BELGRANO 648,TRELEW,BELGRANO 648,"BELGRANO 648, TRELEW, Argentina","Belgrano (N), Perón, Trelew, Municipio de Trelew, Departamento Rawson, Chubut, U9100, Argentina",-43.2466026,-65.3109913
CHAJARI,AVDA. 9 DE JULIO 2460,CHAJARI,AVDA. 9 DE JULIO 2460,"AVDA. 9 DE JULIO 2460, CHAJARI, Argentina","2460, Avenida 9 de Julio, Villa Alejandrina, Chajarí, Distrito Mandisoví, Departamento Federación, 3228, Argentina",-30.7525908,-57.9821058
ITUZAINGO Nº 2,POSADAS 1267,ITUZAINGO,POSADAS 1267,"POSADAS 1267, ITUZAINGO, Argentina","1267, Posadas, Ituzaingó, Partido de Ituzaingó, Buenos Aires, B1714LVH, Argentina",-34.6528235,-58.6763228
LIB.GRAL.SAN MARTIN,AV TILCARA 280,LIBERTADOR GENERAL SAN MARTIN,AV TILCARA 280,"AV TILCARA 280, LIBERTADOR GENERAL SAN MARTIN, Argentina","Tilcara, Cristo Rey, 40 Hectáreas, Libertador General San Martín, Municipio de Libertador General San Martín, Departamento Ledesma, Jujuy, 4512, Argentina",-23.8188625,-64.7991123
TUPUNGATO,ALMIRANTE BROWN 579,TUPUNGATO,ALMIRANTE BROWN 579,"ALMIRANTE BROWN 579, TUPUNGATO, Argentina","Almirante Brown, Distrito Ciudad de Tupungato, Departamento Tupungato, Mendoza, 5561, Argentina",-33.3691975,-69.1477829
SALTO,BELGRANO 958,SALTO,BELGRANO 958,"BELGRANO 958, SALTO, Argentina","958, Belgrano, Salto, Partido de Salto, Buenos Aires, 2741, Argentina",-34.2965181,-60.2434248
OLAVARRIA Nº 2,LAMADRID 3166,OLAVARRIA,LAMADRID 3166,"LAMADRID 3166, OLAVARRIA, Argentina","3166, Lamadrid, Centro, Olavarría, Partido de Olavarría, Buenos Aires, 7400, Argentina",-36.8927518,-60.3175953
COLON Nº 2,AVENIDA URQUIZA 1333,COLON,AVENIDA URQUIZA 1333,"AVENIDA URQUIZA 1333, COLON, Argentina","1333, Avenida Urquiza, Villa Elisa, Municipio Villa Elisa, Distrito Segundo, Departamento Colón, E3265, Argentina",-32.1639962,-58.3998791
COMODORO RIVADAVIA Nº 2,ITALIA 973,COMODORO RIVADAVIA,ITALIA 973,"ITALIA 973, COMODORO RIVADAVIA, Argentina","973, Italia, Rincón del Diablo, Centro, Municipio de Comodoro Rivadavia, Departamento Escalante, Chubut, U9000, Argentina",-45.8602859,-67.4876113
BRAGADO,RAUCH 141,BRAGADO,RAUCH 141,"RAUCH 141, BRAGADO, Argentina","141, Rauch, Michel, Bragado, Partido de Bragado, Buenos Aires, 6640, Argentina",-35.1171971,-60.4841723
TRELEW Nº 3,PECORARO 527,TRELEW,PECORARO 527,"PECORARO 527, TRELEW, Argentina","527, Pecoraro, Presidente Dr. Raúl Ricardo Alfonsín, Trelew, Municipio de Trelew, Departamento Rawson, Chubut, U9100, Argentina",-43.2570126,-65.3144158
PICO TRUNCADO,SANTIAGO DEL ESTERO 901,PICO TRUNCADO,SANTIAGO DEL ESTERO 901,"SANTIAGO DEL ESTERO 901, PICO TRUNCADO, Argentina","901, Santiago del Estero, General Mosconi, Industrial, Pico Truncado, Deseado, Santa Cruz, 9015, Argentina",-46.7911068,-67.9503069
PERICO,AVENIDA SAN MARTIN 27,PERICO,AVENIDA SAN MARTIN 27,"AVENIDA SAN MARTIN 27, PERICO, Argentina","Avenida San Martín, Municipal, Jardín, Perico, Municipio de Perico, Departamento El Carmen, Jujuy, 4610, Argentina",-24.3789497,-65.1252151
TUCUMAN Nº 8,SANTA FE 717,TUCUMAN,SANTA FE 717,"SANTA FE 717, TUCUMAN, Argentina","717, Santa Fe, Barrio Norte, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina",-26.8193503,-65.2052929
SAN LUIS Nº 2,LAVALLE 475,SAN LUIS,LAVALLE 475,"LAVALLE 475, SAN LUIS, Argentina","475, Lavalle, Cuatro Avenidas, San Luis, Municipio de San Luis, Juan Martín de Pueyrredón, San Luis, D5702JRP, Argentina",-33.298622,-66.3308804
ITUZAINGO Nº 1,BOLIVAR 1945,ITUZAINGO,BOLIVAR 1945,"BOLIVAR 1945, ITUZAINGO, Argentina","Registro Nacional de la Propiedad Automotor, 1945, Bolívar, Mbotara, Municipio de Ituzaingó, Departamento Ituzaingó, Corrientes, 3302, Argentina",-27.5872482,-56.6867614
CAÑADA DE GOMEZ Nº 1,SCHNACK 21,CAÑADA DE GOMEZ,SCHNACK 21,"SCHNACK 21, CAÑADA DE GOMEZ, Argentina","21, Schnack, 17 de Agosto, Cañada de Gómez, Municipio de Cañada de Gómez, Departamento Iriondo, 2500, Argentina",-32.8214194,-61.3943778
RIO GRANDE Nº 3,AVENIDA PERITO MORENO 848,RIO GRANDE,AVENIDA PERITO MORENO 848,"AVENIDA PERITO MORENO 848, RIO GRANDE, Argentina","848, Avenida Perito Moreno, Thorne, Centro, Río Grande, Municipio de Río Grande, Departamento Río Grande, Tierra del Fuego, 9420, Argentina",-53.7848793,-67.7067805
VILLA LA ANGOSTURA,LAS MOSQUETAS 333,VILLA LA ANGOSTURA,LAS MOSQUETAS 333,"LAS MOSQUETAS 333, VILLA LA ANGOSTURA, Argentina","333, Las Mosquetas, El Once, Villa La Angostura, Municipio de Villa La Angostura, Departamento Los Lagos, Neuquén, 8407, Argentina",-40.7689367,-71.6413537
TUCUMAN Nº 2,MONTEAGUDO 262,TUCUMAN,MONTEAGUDO 262,"MONTEAGUDO 262, TUCUMAN, Argentina","262, Monteagudo, El bajo, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina",-26.8282653,-65.199508
CHIVILCOY Nº 2,BELGRANO 180,CHIVILCOY,BELGRANO 180,"BELGRANO 180, CHIVILCOY, Argentina","180, Belgrano, Chivilcoy, Partido de Chivilcoy, Buenos Aires, 6620, Argentina",-34.8950375,-60.0154498
GUALEGUAY Nº 2,LIBERTAD 20,GUALEGUAY,LIBERTAD 20,"LIBERTAD 20, GUALEGUAY, Argentina","20, Libertad, Gualeguay, Distrito Cuchilla, Departamento Gualeguay, Argentina",-33.1397135,-59.3142887
CORONDA,SAN MARTIN 1820,CORONDA,SAN MARTIN 1820,"SAN MARTIN 1820, CORONDA, Argentina","1820, San Martín, Las Rosas, Municipio de Coronda, Coronda, Departamento San Jerónimo, Santa Fe, S2240, Argentina",-31.9728068,-60.9255731
SALTA Nº 6,PASAJE SAN MARTÍN 27,SALTA,PASAJE SAN MARTÍN 27,"PASAJE SAN MARTÍN 27, SALTA, Argentina","Pasaje San Martín, Centro, Municipio de Embarcación, General San Martín, Salta, 4550, Argentina",-23.2106895,-64.0977458
RESISTENCIA Nº 2,MONTEAGUDO 346,RESISTENCIA,MONTEAGUDO 346,"MONTEAGUDO 346, RESISTENCIA, Argentina","346, Monteagudo, Villa San Martín, Resistencia, Municipio de Resistencia, Departamento San Fernando, Chaco, H3500ALD, Argentina",-27.453176,-58.9781693
MACHAGAI,JULIO A ROCA 138,MACHAGAI,JULIO A ROCA 138,"JULIO A ROCA 138, MACHAGAI, Argentina","Julio A Roca, Machagai, Municipio de Machagai, Departamento Veinticinco de Mayo, Chaco, 3534, Argentina",-26.9221697,-60.0466287
