seccional,direccion,localidad,direccion_limpia,direccion_completa_limpia,location,lat,lon
MORON Nº 03,SALTA 216,MORON,SALTA 216,"SALTA 216, MORON, Argentina","216, Salta, Morón, Partido de Morón, Buenos Aires, 1708, Argentina",-34.6462128,-58.6211327
LA MATANZA Nº 02,BERUTTI 261,RAMOS MEJIA,BERUTTI 261,"BERUTTI 261, RAMOS MEJIA, Argentina","261, Berutti, Lomas del Millón, Ramos Mejía, Partido de La Matanza, Buenos Aires, 1704, Argentina",-34.6515584,-58.5581634
ITUZAINGO Nº 1 (EX. MORON Nº 8),ALVEAR 1135,ITUZAINGO,ALVEAR 1135,"ALVEAR 1135, ITUZAINGO, Argentina","1135, General Alvear, Los Portones, Ituzaingó, Partido de Ituzaingó, Buenos Aires, B1714LVH, Argentina",-34.6564727,-58.6727024
QUILMES Nº 6,AVENIDA 12 DE OCTUBRE 1345,QUILMES OESTE,AVENIDA 12 DE OCTUBRE 1345,"AVENIDA 12 DE OCTUBRE 1345, QUILMES OESTE, Argentina","Avenida 12 de Octubre, Quilmes Oeste, Quilmes, Partido de Quilmes, Buenos Aires, 1883, Argentina",-34.7397644,-58.284361
TRES DE FEBRERO Nº 5,IBARROLA 31,CIUDADELA,IBARROLA 31,"IBARROLA 31, CIUDADELA, Argentina","31, 104 - Teniente Coronel Amadeo Ibarrola, Triánguilo Comercial de Ciudadela Sur, Ciudadela, Partido de Tres de Febrero, Buenos Aires, C1408ABQ, Argentina",-34.6399815,-58.5322521
LA MATANZA Nº 11,HIPOLITO YRIGOYEN 2569,SAN JUSTO,HIPOLITO YRIGOYEN 2569,"HIPOLITO YRIGOYEN 2569, SAN JUSTO, Argentina","2569, Hipólito Yrigoyen, San Justo, Partido de La Matanza, Buenos Aires, 1754, Argentina",-34.6787889,-58.5613964
CAPITAL FEDERAL Nº 010,SAN JOSE 352,CABA,SAN JOSE 352,"SAN JOSE 352, CABA, Argentina","352, San José, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1091ABA, Argentina",-34.6128026,-58.3860661
ITUZAINGÓ Nº 2 (EX. MORÓN Nº 11),OLAZABAL 963,ITUZAINGO,OLAZABAL 963,"OLAZABAL 963, ITUZAINGO, Argentina","963, Olazábal, Ituzaingó, Partido de Ituzaingó, Buenos Aires, B1714LVH, Argentina",-34.6574332,-58.6694307
QUILMES Nº 9,SAN JUAN 287,QUILMES,SAN JUAN 287,"SAN JUAN 287, QUILMES, Argentina","287, San Juan, Quilmes Este, Quilmes, Partido de Quilmes, Buenos Aires, 1877, Argentina",-34.7190853,-58.2685205
MALVINAS ARGENTINAS Nº 1 (EX. SAN MIGUEL NRO. 4),INGENIERO HUERGO 3239,LOS POLVORINES,INGENIERO HUERGO 3239,"INGENIERO HUERGO 3239, LOS POLVORINES, Argentina","Ingeniero Huergo, Los Polvorines, Partido de Malvinas Argentinas, Buenos Aires, B1613ASD, Argentina",-34.4990558,-58.6921364
TRES DE FEBRERO Nº 2,AVENIDA RIVADAVIA 11942,CIUDADELA,AVENIDA RIVADAVIA 11942,"AVENIDA RIVADAVIA 11942, CIUDADELA, Argentina","11942, 137 - Avenida Rivadavia, Villa Weigel, Ciudadela, Partido de Tres de Febrero, Buenos Aires, B1702, Argentina",-34.6397111,-58.5327234
QUILMES Nº 5 (EX 9),12 DE OCTUBRE 430,QUILMES,12 DE OCTUBRE 430,"12 DE OCTUBRE 430, QUILMES, Argentina","430, Avenida 12 de Octubre, Quilmes Este, Quilmes, Partido de Quilmes, Buenos Aires, B1878, Argentina",-34.7292516,-58.2627206
TRES DE FEBRERO Nº 4,AVENIDA GAONA 4147,CIUDADELA,AVENIDA GAONA 4147,"AVENIDA GAONA 4147, CIUDADELA, Argentina","4147, 225 - Avenida Gaona, Villa Parque Achával, Ciudadela, Partido de Tres de Febrero, Buenos Aires, 1702, Argentina",-34.6347577,-58.5446273
TRES DE FEBRERO Nº 1,AVENIDA RIVADAVIA 11958,CIUDADELA,AVENIDA RIVADAVIA 11958,"AVENIDA RIVADAVIA 11958, CIUDADELA, Argentina","Registro de la propiedad N1 y N2, 11958, 137 - Avenida Rivadavia, Villa Weigel, Ciudadela, Partido de Tres de Febrero, Buenos Aires, B1702, Argentina",-34.6397245,-58.5329006
